,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Florianópolis,-27.6146,-48.5012,24.44,94,0,1.54,BR,1613033761
1,Punta Arenas,-53.15,-70.9167,12.0,87,90,4.63,CL,1613033473
2,Quelimane,-17.8786,36.8883,30.0,48,75,4.12,MZ,1613033709
3,Ushuaia,-54.8,-68.3,16.0,63,0,3.6,AR,1613033491
4,Rikitea,-23.1203,-134.9692,25.51,80,81,6.48,PF,1613033714
5,Hobart,-42.8794,147.3294,22.22,46,0,5.66,AU,1613033569
6,Porto Santo,33.072,-16.3415,15.0,100,20,2.38,PT,1613033762
7,Mataura,-46.1927,168.8643,8.97,73,31,3.02,NZ,1613033712
8,Grand Gaube,-20.0064,57.6608,30.0,61,99,4.92,MU,1613033739
9,Lal'sk,60.7415,47.5862,-19.61,88,100,1.75,RU,1613033762
10,Amapá,1.0,-52.0,22.31,98,100,0.97,BR,1613033763
11,Kapaa,22.0752,-159.319,19.0,77,90,2.06,US,1613033500
12,Cairns,-16.9167,145.7667,29.0,74,40,2.06,AU,1613033763
13,Ilulissat,69.2167,-51.1,-10.0,85,75,9.26,GL,1613033723
14,Busselton,-33.65,115.3333,20.56,63,1,3.13,AU,1613033717
15,Jamestown,42.097,-79.2353,-7.78,86,90,3.6,US,1613033646
16,Hermanus,-34.4187,19.2345,27.22,60,0,2.24,ZA,1613033715
17,Zhezkazgan,47.8043,67.7144,-11.91,89,100,2.39,KZ,1613033764
18,Bandarbeyla,9.4942,50.8122,26.44,55,45,8.94,SO,1613033764
19,Arraial do Cabo,-22.9661,-42.0278,22.8,83,0,1.2,BR,1613033478
20,Ancud,-41.8697,-73.8203,15.0,100,90,0.51,CL,1613033723
21,Dicabisagan,17.0818,122.4157,27.0,82,8,0.89,PH,1613033764
22,Vaini,-21.2,-175.2,26.0,94,20,2.57,TO,1613033720
23,Port Alfred,-33.5906,26.891,28.95,60,23,5.93,ZA,1613033728
24,Berlevåg,70.8578,29.0864,-5.0,74,40,3.6,NO,1613033765
25,Lebu,-37.6167,-73.65,15.95,89,100,4.95,CL,1613033742
26,Kargasok,59.0556,80.8572,-23.15,87,100,5.13,RU,1613033740
27,Kruisfontein,-34.0033,24.7314,30.56,57,12,1.34,ZA,1613033741
28,Puerto Ayora,-0.7393,-90.3518,23.89,99,60,3.09,EC,1613033747
29,Tasiilaq,65.6145,-37.6368,-11.0,52,22,4.12,GL,1613033726
30,Yellowknife,62.456,-114.3525,-26.11,76,1,3.6,CA,1613033460
31,Saskylakh,71.9167,114.0833,-29.48,85,0,1.42,RU,1613033712
32,Fomboni,-12.28,43.7425,28.81,75,100,9.93,KM,1613033766
33,Hamilton,39.1834,-84.5333,-6.67,79,90,7.2,US,1613033511
34,Saint Anthony,45.0205,-93.218,-22.0,64,1,2.57,US,1613033766
35,Arrecife,28.963,-13.5477,17.0,82,75,2.57,ES,1613033767
36,Gizo Government Station,-8.103,156.8419,28.3,75,100,4.81,SB,1613033767
37,Sitka,57.0531,-135.33,-6.0,58,1,2.06,US,1613033741
38,Bengkulu,-3.8004,102.2655,28.96,69,2,3.35,ID,1613033744
39,Butaritari,3.0707,172.7902,27.51,79,95,5.94,KI,1613033730
40,Bluff,-46.6,168.3333,11.33,73,94,9.69,NZ,1613033731
