,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sorong,-0.8833,131.25,85.15,69,14,5.3,ID,1613104583
1,Bambous Virieux,-20.3428,57.7575,84.0,65,40,9.22,MU,1613104540
2,Hobart,-42.8794,147.3294,73.4,38,0,19.57,AU,1613104264
3,Vaini,-21.2,-175.2,86.0,79,20,5.75,TO,1613104508
4,Albany,42.6001,-73.9662,14.0,62,20,9.22,US,1613104511
5,Ushuaia,-54.8,-68.3,46.4,71,20,9.22,AR,1613104515
6,Pisco,-13.7,-76.2167,75.2,73,40,3.44,PE,1613104599
7,Antofagasta,-23.65,-70.4,66.2,68,0,3.44,CL,1613104988
8,George Town,5.4112,100.3354,89.6,62,20,4.61,MY,1613104531
9,Horta,38.5333,-28.6333,59.04,77,99,23.24,PT,1613104989
10,Punta Arenas,-53.15,-70.9167,46.4,71,20,9.22,CL,1613104386
11,College,64.8569,-147.8028,10.99,78,75,1.86,US,1613104529
12,Back Mountain,41.3359,-75.9963,15.01,81,100,1.01,US,1613104858
13,Pevek,69.7008,170.3133,-24.47,85,41,3.42,RU,1613104528
14,East London,-33.0153,27.9116,71.6,100,75,6.91,ZA,1613104559
15,Zyryanka,65.75,150.85,-20.07,87,91,1.7,RU,1613104990
16,Carnarvon,-24.8667,113.6333,78.8,78,66,16.11,AU,1613104517
17,Boralday,43.3578,76.8594,28.4,100,90,4.47,KZ,1613104990
18,Cape Town,-33.9258,18.4232,72.0,94,75,11.5,ZA,1613104513
19,Castro,-24.7911,-50.0119,62.1,97,100,6.29,BR,1613104509
20,Rawson,-43.3002,-65.1023,70.65,62,61,10.67,AR,1613104991
21,Katsuura,35.1333,140.3,54.0,48,100,1.99,JP,1613104568
22,Yellowknife,62.456,-114.3525,-14.01,76,1,5.75,CA,1613104521
23,Chui,-33.6971,-53.4616,69.93,92,100,12.21,UY,1613104525
24,Torbay,47.6666,-52.7314,24.01,93,90,27.63,CA,1613104517
25,Ust-Kuyga,70.0167,135.6,-7.94,83,0,3.44,RU,1613104991
26,Necochea,-38.5473,-58.7368,64.99,95,94,3.0,AR,1613104557
27,Vardø,70.3705,31.1107,15.8,92,90,11.5,NO,1613104579
28,Bluff,-46.6,168.3333,60.01,68,1,7.0,NZ,1613104517
29,Upernavik,72.7868,-56.1549,1.15,81,99,8.55,GL,1613104541
30,Fortuna,40.5982,-124.1573,48.0,100,90,3.44,US,1613104533
31,Rikitea,-23.1203,-134.9692,79.56,67,98,3.11,PF,1613104514
32,Hilo,19.7297,-155.09,73.4,68,75,5.75,US,1613104410
33,Mataura,-46.1927,168.8643,60.01,68,0,7.0,NZ,1613104508
34,Nanortalik,60.1432,-45.2371,28.47,88,100,11.68,GL,1613104570
35,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,75,4.61,CA,1613104526
36,Buchanan,5.8808,-10.0467,78.64,89,96,4.34,LR,1613104993
37,Hede,33.7681,120.2517,58.3,46,3,10.11,CN,1613104993
38,Barrow,71.2906,-156.7887,-40.0,82,90,8.05,US,1613104520
39,Wawa,9.9022,4.4192,73.26,25,0,1.72,NG,1613104993
40,Bathsheba,13.2167,-59.5167,77.0,65,20,17.27,BB,1613104993
41,Bontang,0.1333,117.5,85.26,65,100,3.44,ID,1613104994
42,Moindou,-21.6924,165.677,86.0,66,20,10.36,NC,1613104994
43,Otukpo,7.1913,8.1329,73.11,92,2,1.9,NG,1613104994
44,Isangel,-19.55,169.2667,86.0,74,75,4.38,VU,1613104540
45,Kathu,7.9178,98.3332,88.0,62,20,14.97,TH,1613104994
46,Ranot,7.7777,100.3213,82.27,72,73,9.98,TH,1613104994
47,Amuntai,-2.4177,115.2494,88.52,63,100,3.29,ID,1613104727
48,Dikson,73.5069,80.5464,-14.76,89,100,7.23,RU,1613104553
49,Rovaniemi,66.5,25.7167,1.4,85,75,4.61,FI,1613104995
50,Bacolod City,10.6667,122.95,84.97,70,12,6.8,PH,1613104995
51,Busselton,-33.65,115.3333,75.15,41,0,3.69,AU,1613104508
52,Venice,27.0998,-82.4543,72.0,88,1,6.91,US,1613104912
53,Los Llanos de Aridane,28.6585,-17.9182,62.6,67,0,8.05,ES,1613104590
54,Avera,33.194,-82.5271,59.0,97,90,3.44,US,1613104995
55,Mineral Wells,32.8085,-98.1128,27.0,68,90,11.5,US,1613104996
56,Beloha,-25.1667,45.05,79.86,68,69,10.31,MG,1613104996
57,Nouadhibou,20.931,-17.0347,60.8,82,0,20.71,MR,1613104545
58,Januária,-15.4833,-44.3667,69.57,92,100,4.05,BR,1613104996
59,Cherskiy,68.75,161.3,-24.84,83,0,1.21,RU,1613104519
60,Saint George,37.1041,-113.5841,57.0,35,1,1.16,US,1613104527
61,Bethel,41.3712,-73.414,21.99,58,1,3.44,US,1613104537
62,Yining,29.0361,114.5636,66.67,56,12,1.23,CN,1613104997
63,Chokwé,-24.5333,32.9833,76.08,90,100,12.21,MZ,1613104997
64,Rajanpur,29.1035,70.325,75.54,18,99,7.7,PK,1613104997
65,Lüderitz,-26.6481,15.1594,64.35,87,63,5.79,NA,1613104575
66,Port Alfred,-33.5906,26.891,71.01,96,100,8.68,ZA,1613104521
67,Nikolskoye,59.7035,30.7861,3.99,85,75,11.18,RU,1613104529
68,Jamestown,42.097,-79.2353,12.2,79,20,8.05,US,1613104404
69,Mahébourg,-20.4081,57.7,82.4,65,40,9.22,MU,1613104512
70,Jinchang,38.4953,102.1739,46.35,44,100,7.76,CN,1613104998
71,Hithadhoo,-0.6,73.0833,81.86,77,72,10.78,MV,1613104401
72,Puerto Ayora,-0.7393,-90.3518,75.99,98,80,8.7,EC,1613104531
73,Sukumo,32.9333,132.7333,57.22,55,100,6.24,JP,1613104998
74,Mar del Plata,-38.0023,-57.5575,70.0,88,90,12.66,AR,1613104460
75,Port Lincoln,-34.7333,135.8667,67.51,57,84,15.03,AU,1613104592
76,Noshiro,40.2039,140.0242,39.2,52,20,2.3,JP,1613104999
77,Namalenga,-10.95,39.1,73.35,92,99,3.13,TZ,1613104999
78,Sal Rei,16.1833,-22.9167,68.0,77,75,13.8,CV,1613104999
79,Vaitape,-16.5167,-151.75,82.36,67,4,11.03,PF,1613104552
80,Hermanus,-34.4187,19.2345,71.01,92,90,7.18,ZA,1613104519
81,Beyneu,45.3167,55.2,38.17,70,69,14.18,KZ,1613104870
